Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
1741711704.0622804,-0.509167,0.858209,0.169092,-0.4725,-0.2275,0.58625
1741711704.0657315,-0.506178,0.859734,0.1797669999999999,-0.55125,-0.245,0.5425000000000001
1741711704.068594,-0.511119,0.8565619999999999,0.175558,-0.2625,-0.07875,0.5775
1741711704.0713377,-0.504775,0.857904,0.174948,-0.25375,-0.18375,0.7350000000000001
1741711704.073979,-0.505873,0.8562569999999999,0.17202,-0.39375,-0.14875,0.69125
1741711704.0764625,-0.505751,0.85278,0.171654,-0.1575,-0.02625,0.6737500000000001
1741711704.078857,-0.50691,0.8565619999999999,0.174155,-0.09625,-0.09625,0.6737500000000001
1741711704.0823305,-0.50813,0.855708,0.180438,0.0175,0.0175,0.8575
1741711704.085413,-0.504958,0.854244,0.171532,0.0875,0.09625,0.7000000000000001
1741711704.088573,-0.507398,0.854305,0.170434,0.14,-0.11375,0.58625
1741711704.0910275,-0.506361,0.860588,0.171288,0.0175,0.07,0.6475000000000001
1741711704.0936563,-0.512339,0.856379,0.17019,-0.13125,-0.07875,0.63875
1741711704.0964634,-0.507947,0.8599169999999999,0.1609789999999999,-0.07875,-0.0525,0.8487500000000001
1741711704.0988567,-0.510936,0.858636,0.171654,0.02625,-0.04375,0.6825000000000001
1741711704.1011918,-0.507276,0.861869,0.168055,-0.105,0.02625,0.77
1741711704.1055512,-0.507337,0.860283,0.168421,-0.07,-0.175,0.5425000000000001
1741711704.1087675,-0.510082,0.858331,0.168909,-0.21875,-0.175,0.7262500000000001
1741711704.111653,-0.505873,0.861015,0.167506,-0.20125,-0.13125,0.6125
1741711704.1143804,-0.508618,0.860771,0.168787,-0.35,-0.28875,0.60375
1741711704.116957,-0.511424,0.859795,0.166408,-0.39375,-0.25375,0.55125
1741711704.1194992,-0.507459,0.856684,0.17263,-0.4375,-0.385,0.5162500000000001
1741711704.1235547,-0.505873,0.853573,0.17019,-0.6125,-0.27125,0.5337500000000001
1741711704.1269176,-0.506361,0.854915,0.166713,-0.6125,-0.25375,0.48125
1741711704.1301758,-0.504165,0.856684,0.171898,-0.58625,-0.4375,0.32375
1741711704.1328523,-0.508313,0.854366,0.1708,-0.41125,-0.23625,0.4025
1741711704.1352508,-0.509472,0.855403,0.1723859999999999,-0.44625,-0.14875,0.5162500000000001
1741711704.137937,-0.510021,0.8590019999999999,0.173972,-0.42,-0.1925,0.6125
1741711704.1405425,-0.508374,0.857904,0.17507,-0.42875,-0.035,0.5075000000000001
1741711704.1439104,-0.508984,0.8562569999999999,0.174216,-0.21,-0.0875,0.41125
1741711704.1473577,-0.508313,0.854061,0.172874,-0.2275,-0.1225,0.5950000000000001
1741711704.150072,-0.508984,0.856074,0.174826,-0.13125,-0.035,0.6825000000000001
1741711704.152419,-0.51179,0.856928,0.169824,-0.09625,-0.06125,0.6212500000000001
1741711704.1548653,-0.508557,0.854671,0.169214,0.0,-0.14875,0.525
1741711704.1570618,-0.510631,0.858636,0.186294,-0.105,-0.06125,0.6125
1741711704.159247,-0.507093,0.860344,0.175009,0.0,0.035,0.6212500000000001
1741711704.1625493,-0.509167,0.859429,0.172264,-0.06125,-0.1575,0.69125
1741711704.1652603,-0.506788,0.8577819999999999,0.170373,-0.09625,-0.00875,0.91875
1741711704.1676564,-0.508313,0.860039,0.171959,0.02625,-0.0875,0.7175
1741711704.1700416,-0.510631,0.858514,0.166408,-0.1575,-0.1225,0.6562500000000001
1741711704.172428,-0.509045,0.8614419999999999,0.175741,-0.175,-0.06125,0.7350000000000001
1741711704.174693,-0.506361,0.859673,0.169275,-0.13125,-0.1575,0.805
1741711704.1769102,-0.510082,0.859856,0.168848,-0.1225,-0.18375,0.77875
1741711704.1792047,-0.509228,0.859978,0.166896,-0.21,-0.18375,0.7350000000000001
1741711704.1826737,-0.505873,0.858209,0.167506,-0.41125,-0.175,0.5687500000000001
1741711704.1853223,-0.504653,0.857111,0.170739,-0.46375,-0.2625,0.7087500000000001
1741711704.1875613,-0.506666,0.855098,0.1705559999999999,-0.21,-0.2975,0.5687500000000001
1741711704.189745,-0.502457,0.8522919999999999,0.172813,-0.42,-0.32375,0.6475000000000001
1741711704.1918993,-0.504592,0.855708,0.168787,-0.46375,-0.23625,0.5425000000000001
